# Locale,  Region, Date,         Description,                  Type,  Notes.
  "ru-RU", "",     "2011-01-01", "Новый Год",                  "NF",  ""
  "ru-RU", "",     "2011-01-07", "Рождество Христово",         "NRF", ""
  "ru-RU", "",     "2011-02-23", "День защитника Отечества",   "NF",  ""
  "ru-RU", "",     "2011-08-03", "Международный женский день", "NF",  ""
  "ru-RU", "",     "2011-04-24", "Пасха",                      "NRV", ""
  "ru-RU", "",     "2011-05-01", "Праздник весны и труда",     "NF",  ""
  "ru-RU", "",     "2011-05-09", "День Победы",                "NF",  ""
  "ru-RU", "",     "2011-06-12", "День России",                "NF",  ""
  "ru-RU", "",     "2011-11-04", "День народного единства",    "NF",  ""

  "ru-RU", "",     "2012-01-01", "Новый Год",                  "NF",  ""
  "ru-RU", "",     "2012-01-07", "Рождество Христово",         "NRF", ""
  "ru-RU", "",     "2012-02-23", "День защитника Отечества",   "NF",  ""
  "ru-RU", "",     "2012-08-03", "Международный женский день", "NF",  ""
  "ru-RU", "",     "2012-04-15", "Пасха",                      "NRV", ""
  "ru-RU", "",     "2012-05-01", "Праздник весны и труда",     "NF",  ""
  "ru-RU", "",     "2012-05-09", "День Победы",                "NF",  ""
  "ru-RU", "",     "2012-06-12", "День России",                "NF",  ""
  "ru-RU", "",     "2012-11-04", "День народного единства",    "NF",  ""
