# Locale,  Region, Date,         Description,                  Type,  Notes.
  "ru-RU", "",     "2011-01-01", "Новый Год",                  "NF",  ""
  "ru-RU", "",     "2011-01-07", "Рождество Христово",         "NRF", ""
  "ru-RU", "",     "2011-02-23", "День защитника Отечества",   "NF",  ""
  "ru-RU", "",     "2011-03-08", "Международный женский день", "NF",  ""
  "ru-RU", "",     "2011-04-24", "Пасха",                      "NRV", ""
  "ru-RU", "",     "2011-05-01", "Праздник весны и труда",     "NF",  ""
  "ru-RU", "",     "2011-05-09", "День Победы",                "NF",  ""
  "ru-RU", "",     "2011-06-12", "День России",                "NF",  ""
  "ru-RU", "",     "2011-11-04", "День народного единства",    "NF",  ""

  "ru-RU", "",     "2012-01-01", "Новый Год",                  "NF",  ""
  "ru-RU", "",     "2012-01-07", "Рождество Христово",         "NRF", ""
  "ru-RU", "",     "2012-02-23", "День защитника Отечества",   "NF",  ""
  "ru-RU", "",     "2012-03-08", "Международный женский день", "NF",  ""
  "ru-RU", "",     "2012-04-15", "Пасха",                      "NRV", ""
  "ru-RU", "",     "2012-05-01", "Праздник весны и труда",     "NF",  ""
  "ru-RU", "",     "2012-05-09", "День Победы",                "NF",  ""
  "ru-RU", "",     "2012-06-12", "День России",                "NF",  ""
  "ru-RU", "",     "2012-11-04", "День народного единства",    "NF",  ""

  "ru-RU", "",     "2013-01-01", "Новый Год",                  "NF",  ""
  "ru-RU", "",     "2013-01-07", "Рождество Христово",         "NRF", ""
  "ru-RU", "",     "2013-02-23", "День защитника Отечества",   "NF",  ""
  "ru-RU", "",     "2013-03-08", "Международный женский день", "NF",  ""
  "ru-RU", "",     "2013-05-05", "Пасха",                      "NRV", ""
  "ru-RU", "",     "2013-05-01", "Праздник весны и труда",     "NF",  ""
  "ru-RU", "",     "2013-05-09", "День Победы",                "NF",  ""
  "ru-RU", "",     "2013-06-12", "День России",                "NF",  ""
  "ru-RU", "",     "2013-11-04", "День народного единства",    "NF",  ""

  "ru-RU", "",     "2014-01-01", "Новый Год",                  "NF",  ""
  "ru-RU", "",     "2014-01-07", "Рождество Христово",         "NRF", ""
  "ru-RU", "",     "2014-02-23", "День защитника Отечества",   "NF",  ""
  "ru-RU", "",     "2014-03-08", "Международный женский день", "NF",  ""
  "ru-RU", "",     "2014-04-20", "Пасха",                      "NRV", ""
  "ru-RU", "",     "2014-05-01", "Праздник весны и труда",     "NF",  ""
  "ru-RU", "",     "2014-05-09", "День Победы",                "NF",  ""
  "ru-RU", "",     "2014-06-12", "День России",                "NF",  ""
  "ru-RU", "",     "2014-11-04", "День народного единства",    "NF",  ""

  "ru-RU", "",     "2015-01-01", "Новый Год",                  "NF",  ""
  "ru-RU", "",     "2015-01-07", "Рождество Христово",         "NRF", ""
  "ru-RU", "",     "2015-02-23", "День защитника Отечества",   "NF",  ""
  "ru-RU", "",     "2015-03-08", "Международный женский день", "NF",  ""
  "ru-RU", "",     "2015-04-12", "Пасха",                      "NRV", ""
  "ru-RU", "",     "2015-05-01", "Праздник весны и труда",     "NF",  ""
  "ru-RU", "",     "2015-05-09", "День Победы",                "NF",  ""
  "ru-RU", "",     "2015-06-12", "День России",                "NF",  ""
  "ru-RU", "",     "2015-11-04", "День народного единства",    "NF",  ""

  "ru-RU", "",     "2016-01-01", "Новый Год",                  "NF",  ""
  "ru-RU", "",     "2016-01-07", "Рождество Христово",         "NRF", ""
  "ru-RU", "",     "2016-02-23", "День защитника Отечества",   "NF",  ""
  "ru-RU", "",     "2016-03-08", "Международный женский день", "NF",  ""
  "ru-RU", "",     "2016-05-01", "Пасха",                      "NRV", ""
  "ru-RU", "",     "2016-05-01", "Праздник весны и труда",     "NF",  ""
  "ru-RU", "",     "2016-05-09", "День Победы",                "NF",  ""
  "ru-RU", "",     "2016-06-12", "День России",                "NF",  ""
  "ru-RU", "",     "2016-11-04", "День народного единства",    "NF",  ""


