# Locale,  Region, Date,         Description,              Type, Notes.
  "lt-LT", "", "2012-01-01", "Naujieji metai",                           "NF",  ""
  "lt-LT", "", "2012-02-16", "Lietuvos valstybės atkūrimo diena",        "NF",  ""
  "lt-LT", "", "2012-03-11", "Lietuvos nepriklausomybės atkūrimo diena", "NF",  ""
  "lt-LT", "", "2012-04-08", "Velykos",                                  "NRV", ""
  "lt-LT", "", "2012-04-09", "Velykos",                                  "NRV", ""
  "lt-LT", "", "2012-05-01", "Tarptautinė darbo diena",                  "NF",  ""
  "lt-LT", "", "2012-05-06", "Motinos diena",                            "NV",  ""
  "lt-LT", "", "2012-05-13", "Tėvo diena",                               "NV",  ""
  "lt-LT", "", "2012-06-24", "Joninės, Rasos",                           "NF",  ""
  "lt-LT", "", "2012-07-06", "Valstybės diena",                          "NF",  ""
  "lt-LT", "", "2012-08-15", "Žolinė",                                   "NRF", ""
  "lt-LT", "", "2012-21-01", "Visų šventųjų diena",                      "NRF", ""
  "lt-LT", "", "2012-12-25", "Šv. Kalėdos",                              "NRV", ""
  "lt-LT", "", "2012-12-26", "Šv. Kalėdos",                              "NRV", ""

  "lt-LT", "", "2013-01-01", "Naujieji metai",                           "NF",  ""
  "lt-LT", "", "2013-02-16", "Lietuvos valstybės atkūrimo diena",        "NF",  ""
  "lt-LT", "", "2013-03-11", "Lietuvos nepriklausomybės atkūrimo diena", "NF",  ""
  "lt-LT", "", "2013-03-31", "Velykos",                                  "NRV", ""
  "lt-LT", "", "2013-04-01", "Velykos",                                  "NRV", ""
  "lt-LT", "", "2013-05-01", "Tarptautinė darbo diena",                  "NF",  ""
  "lt-LT", "", "2013-05-05", "Motinos diena",                            "NV",  ""
  "lt-LT", "", "2013-05-12", "Tėvo diena",                               "NV",  ""
  "lt-LT", "", "2013-06-24", "Joninės, Rasos",                           "NF",  ""
  "lt-LT", "", "2013-07-06", "Valstybės diena",                          "NF",  ""
  "lt-LT", "", "2013-08-15", "Žolinė",                                   "NRF", ""
  "lt-LT", "", "2013-21-01", "Visų šventųjų diena",                      "NRF", ""
  "lt-LT", "", "2013-12-25", "Šv. Kalėdos",                              "NRV", ""
  "lt-LT", "", "2013-12-26", "Šv. Kalėdos",                              "NRV", ""

  "lt-LT", "", "2014-01-01", "Naujieji metai",                           "NF",  ""
  "lt-LT", "", "2014-02-16", "Lietuvos valstybės atkūrimo diena",        "NF",  ""
  "lt-LT", "", "2014-03-11", "Lietuvos nepriklausomybės atkūrimo diena", "NF",  ""
  "lt-LT", "", "2014-04-20", "Velykos",                                  "NRV", ""
  "lt-LT", "", "2014-04-21", "Velykos",                                  "NRV", ""
  "lt-LT", "", "2014-05-01", "Tarptautinė darbo diena",                  "NF",  ""
  "lt-LT", "", "2014-05-04", "Motinos diena",                            "NV",  ""
  "lt-LT", "", "2014-05-11", "Tėvo diena",                               "NV",  ""
  "lt-LT", "", "2014-06-24", "Joninės, Rasos",                           "NF",  ""
  "lt-LT", "", "2014-07-06", "Valstybės diena",                          "NF",  ""
  "lt-LT", "", "2014-08-15", "Žolinė",                                   "NRF", ""
  "lt-LT", "", "2014-21-01", "Visų šventųjų diena",                      "NRF", ""
  "lt-LT", "", "2014-12-25", "Šv. Kalėdos",                              "NRV", ""
  "lt-LT", "", "2014-12-26", "Šv. Kalėdos",                              "NRV", ""
