# Locale,  Region, Date,         Description,               Type,  Notes.
  "it-IT", "",     "2011-01-01", "Capodanno",               "NF",  ""
  "it-IT", "",     "2011-01-06", "Epifania",                "NRF", ""
  "it-IT", "",     "2011-03-08", "Carnevale",               "NR",  ""
  "it-IT", "",     "2011-04-24", "Pasqua",                  "NRV", ""
  "it-IT", "",     "2011-04-25", "Festa della liberazione", "NF",  ""
  "it-IT", "",     "2011-05-01", "Festa del lavoro",        "NF",  ""
  "it-IT", "",     "2011-06-02", "Festa della repubblica",  "NF",  ""
  "it-IT", "",     "2011-08-15", "Assunzione (ferragosto)", "NRF", ""
  "it-IT", "",     "2011-11-01", "Ognissanti",              "NRF", ""
  "it-IT", "",     "2011-12-08", "Immacolata concezione",   "NRV", ""
  "it-IT", "",     "2011-12-25", "Natale",                  "NRF", ""
  "it-IT", "",     "2011-12-26", "S.to Stefano",            "NRF", ""

  "it-IT", "",     "2012-01-01", "Capodanno",               "NF",  ""
  "it-IT", "",     "2012-01-06", "Epifania",                "NRF", ""
  "it-IT", "",     "2012-03-08", "Carnevale",               "NRV", ""
  "it-IT", "",     "2012-04-09", "Pasqua",                  "NRV", ""
  "it-IT", "",     "2012-04-25", "Festa della liberazione", "NF",  ""
  "it-IT", "",     "2012-05-01", "Festa del lavoro",        "NF",  ""
  "it-IT", "",     "2012-06-02", "Festa della repubblica",  "NF",  ""
  "it-IT", "",     "2012-08-15", "Assunzione (ferragosto)", "NRF", ""
  "it-IT", "",     "2012-11-01", "Ognissanti",              "NRF", ""
  "it-IT", "",     "2012-12-08", "Immacolata concezione",   "NRF", ""
  "it-IT", "",     "2012-12-25", "Natale",                  "NRF", ""
  "it-IT", "",     "2012-12-26", "S.to Stefano",            "NRF", ""

  "it-IT", "",     "2013-01-01", "Capodanno",               "NF",  ""
  "it-IT", "",     "2013-01-06", "Epifania",                "NRF", ""
  "it-IT", "",     "2013-02-10", "Carnevale",               "NRV", ""
  "it-IT", "",     "2013-04-01", "Pasqua",                  "NRV", ""
  "it-IT", "",     "2013-04-25", "Festa della liberazione", "NF",  ""
  "it-IT", "",     "2013-05-01", "Festa del lavoro",        "NF",  ""
  "it-IT", "",     "2013-06-02", "Festa della repubblica",  "NF",  ""
  "it-IT", "",     "2013-08-15", "Assunzione (ferragosto)", "NRF", ""
  "it-IT", "",     "2013-11-01", "Ognissanti",              "NRF", ""
  "it-IT", "",     "2013-12-08", "Immacolata concezione",   "NRF", ""
  "it-IT", "",     "2013-12-25", "Natale",                  "NRF", ""
  "it-IT", "",     "2013-12-26", "S.to Stefano",            "NRF", ""

  "it-IT", "",     "2014-01-01", "Capodanno",               "NF",  ""
  "it-IT", "",     "2014-01-06", "Epifania",                "NRF", ""
  "it-IT", "",     "2014-03-04", "Carnevale",               "NRV", ""
  "it-IT", "",     "2014-04-20", "Pasqua",                  "NRV", ""
  "it-IT", "",     "2014-04-25", "Festa della liberazione", "NF",  ""
  "it-IT", "",     "2014-05-01", "Festa del lavoro",        "NF",  ""
  "it-IT", "",     "2014-06-02", "Festa della repubblica",  "NF",  ""
  "it-IT", "",     "2014-08-15", "Assunzione (ferragosto)", "NRF", ""
  "it-IT", "",     "2014-11-01", "Ognissanti",              "NRF", ""
  "it-IT", "",     "2014-12-08", "Immacolata concezione",   "NRF", ""
  "it-IT", "",     "2014-12-25", "Natale",                  "NRF", ""
  "it-IT", "",     "2014-12-26", "S.to Stefano",            "NRF", ""

  "it-IT", "",     "2015-01-01", "Capodanno",               "NF",  ""
  "it-IT", "",     "2015-01-06", "Epifania",                "NRF", ""
  "it-IT", "",     "2015-02-17", "Carnevale",               "NRV", ""
  "it-IT", "",     "2015-04-05", "Pasqua",                  "NRV", ""
  "it-IT", "",     "2015-04-25", "Festa della liberazione", "NF",  ""
  "it-IT", "",     "2015-05-01", "Festa del lavoro",        "NF",  ""
  "it-IT", "",     "2015-06-02", "Festa della repubblica",  "NF",  ""
  "it-IT", "",     "2015-08-15", "Assunzione (ferragosto)", "NRF", ""
  "it-IT", "",     "2015-11-01", "Ognissanti",              "NRF", ""
  "it-IT", "",     "2015-12-08", "Immacolata concezione",   "NRF", ""
  "it-IT", "",     "2015-12-25", "Natale",                  "NRF", ""
  "it-IT", "",     "2015-12-26", "S.to Stefano",            "NRF", ""

  "it-IT", "",     "2016-01-01", "Capodanno",               "NF",  ""
  "it-IT", "",     "2016-01-06", "Epifania",                "NRF", ""
  "it-IT", "",     "2016-02-09", "Carnevale",               "NRV", ""
  "it-IT", "",     "2016-03-27", "Pasqua",                  "NRV", ""
  "it-IT", "",     "2016-04-25", "Festa della liberazione", "NF",  ""
  "it-IT", "",     "2016-05-01", "Festa del lavoro",        "NF",  ""
  "it-IT", "",     "2016-06-02", "Festa della repubblica",  "NF",  ""
  "it-IT", "",     "2016-08-15", "Assunzione (ferragosto)", "NRF", ""
  "it-IT", "",     "2016-11-01", "Ognissanti",              "NRF", ""
  "it-IT", "",     "2016-12-08", "Immacolata concezione",   "NRF", ""
  "it-IT", "",     "2016-12-25", "Natale",                  "NRF", ""
  "it-IT", "",     "2016-12-26", "S.to Stefano",            "NRF", ""
