# Locale,  Region, Date,         Description,                 Type,  Notes.
  "es-ES", "",     "2011-01-01", "Año Nuevo",                 "N",   ""
  "es-ES", "",     "2011-01-06", "Día de los Reyes",          "N",   ""
  "es-ES", "",     "2011-04-22", "Viernes Santo",             "N",   ""
  "es-ES", "",     "2011-04-24", "Pascua",                    "NR",  ""
  "es-ES", "",     "2011-05-01", "Fiesta del Trabajo",        "N",   ""
  "es-ES", "",     "2011-08-15", "Asunción de la Virgen",     "N",   ""
  "es-ES", "",     "2011-10-12", "Fiesta Nacional de España", "N",   ""
  "es-ES", "",     "2011-11-01", "Dia de todos los Santos",   "N",   ""
  "es-ES", "",     "2011-12-06", "Dia de la Constitución",    "N",   ""
  "es-ES", "",     "2011-12-08", "Inmaculada Concepción",     "N",   ""
  "es-ES", "",     "2011-12-24", "Noche Buena",               "N",   ""
  "es-ES", "",     "2011-12-25", "Navidad",                   "NRF", ""
  "es-ES", "",     "2011-12-31", "Noche Vieja",               "NF",  ""

  "es-ES", "",     "2012-01-01", "Año Nuevo",                 "N",   ""
  "es-ES", "",     "2012-01-06", "Día de los Reyes",          "N",   ""
  "es-ES", "",     "2012-04-06", "Viernes Santo",             "N",   ""
  "es-ES", "",     "2011-04-08", "Pascua",                    "NR",  ""
  "es-ES", "",     "2012-05-01", "Fiesta del Trabajo",        "N",   ""
  "es-ES", "",     "2012-08-15", "Asunción de la Virgen",     "N",   ""
  "es-ES", "",     "2012-10-12", "Fiesta Nacional de España", "N",   ""
  "es-ES", "",     "2012-11-01", "Dia de todos los Santos",   "N",   ""
  "es-ES", "",     "2012-12-06", "Dia de la Constitución",    "N",   ""
  "es-ES", "",     "2012-12-08", "Inmaculada Concepción",     "N",   ""
  "es-ES", "",     "2012-12-24", "Noche Buena",               "N",   ""
  "es-ES", "",     "2012-12-25", "Navidad",                   "NRF", ""
  "es-ES", "",     "2012-12-31", "Noche Vieja",               "NF",  ""

  "es-ES", "",     "2013-01-01", "Año Nuevo",                 "NF",  ""
  "es-ES", "",     "2013-01-06", "Día de los Reyes",          "NRF", ""
  "es-ES", "",     "2013-03-29", "Viernes Santo",             "NRV", ""
  "es-ES", "",     "2013-03-31", "Pascua",                    "NRV", ""
  "es-ES", "",     "2013-05-01", "Fiesta del Trabajo",        "NF",  ""
  "es-ES", "",     "2013-08-15", "Asunción de la Virgen",     "NRF", ""
  "es-ES", "",     "2013-10-12", "Fiesta Nacional de España", "NF",  ""
  "es-ES", "",     "2013-11-01", "Dia de todos los Santos",   "NRF", ""
  "es-ES", "",     "2013-12-06", "Dia de la Constitución",    "NF",  ""
  "es-ES", "",     "2013-12-08", "Inmaculada Concepción",     "NRF", ""
  "es-ES", "",     "2013-12-24", "Noche Buena",               "NRF", ""
  "es-ES", "",     "2013-12-25", "Navidad",                   "NRF", ""
  "es-ES", "",     "2013-12-31", "Noche Vieja",               "NF",  ""

  "es-ES", "",     "2014-01-01", "Año Nuevo",                 "NF",  ""
  "es-ES", "",     "2014-01-06", "Día de los Reyes",          "NRF", ""
  "es-ES", "",     "2014-04-18", "Viernes Santo",             "NRV", ""
  "es-ES", "",     "2014-04-20", "Pascua",                    "NRV", ""
  "es-ES", "",     "2014-05-01", "Fiesta del Trabajo",        "NF",  ""
  "es-ES", "",     "2014-08-15", "Asunción de la Virgen",     "NRF", ""
  "es-ES", "",     "2014-10-12", "Fiesta Nacional de España", "NF",  ""
  "es-ES", "",     "2014-11-01", "Dia de todos los Santos",   "NRF", ""
  "es-ES", "",     "2014-12-06", "Dia de la Constitución",    "NF",  ""
  "es-ES", "",     "2014-12-08", "Inmaculada Concepción",     "NRF", ""
  "es-ES", "",     "2014-12-24", "Noche Buena",               "NRF", ""
  "es-ES", "",     "2014-12-25", "Navidad",                   "NRF", ""
  "es-ES", "",     "2014-12-31", "Noche Vieja",               "NF",  ""

  "es-ES", "",     "2015-01-01", "Año Nuevo",                 "NF",  ""
  "es-ES", "",     "2015-01-06", "Día de los Reyes",          "NRF", ""
  "es-ES", "",     "2015-04-03", "Viernes Santo",             "NRV", ""
  "es-ES", "",     "2015-04-05", "Pascua",                    "NRV", ""
  "es-ES", "",     "2015-05-01", "Fiesta del Trabajo",        "NF",  ""
  "es-ES", "",     "2015-08-15", "Asunción de la Virgen",     "NRF", ""
  "es-ES", "",     "2015-10-12", "Fiesta Nacional de España", "NF",  ""
  "es-ES", "",     "2015-11-01", "Dia de todos los Santos",   "NRF", ""
  "es-ES", "",     "2015-12-06", "Dia de la Constitución",    "NF",  ""
  "es-ES", "",     "2015-12-08", "Inmaculada Concepción",     "NRF", ""
  "es-ES", "",     "2015-12-24", "Noche Buena",               "NRF", ""
  "es-ES", "",     "2015-12-25", "Navidad",                   "NRF", ""
  "es-ES", "",     "2015-12-31", "Noche Vieja",               "NF",  ""

  "es-ES", "",     "2016-01-01", "Año Nuevo",                 "NF",  ""
  "es-ES", "",     "2016-01-06", "Día de los Reyes",          "NRF", ""
  "es-ES", "",     "2016-03-25", "Viernes Santo",             "NRV", ""
  "es-ES", "",     "2016-03-27", "Pascua",                    "NRV", ""
  "es-ES", "",     "2016-05-01", "Fiesta del Trabajo",        "NF",  ""
  "es-ES", "",     "2016-08-15", "Asunción de la Virgen",     "NRF", ""
  "es-ES", "",     "2016-10-12", "Fiesta Nacional de España", "NF",  ""
  "es-ES", "",     "2016-11-01", "Dia de todos los Santos",   "NRF", ""
  "es-ES", "",     "2016-12-06", "Dia de la Constitución",    "NF",  ""
  "es-ES", "",     "2016-12-08", "Inmaculada Concepción",     "NRF", ""
  "es-ES", "",     "2016-12-24", "Noche Buena",               "NRF", ""
  "es-ES", "",     "2016-12-25", "Navidad",                   "NRF", ""
  "es-ES", "",     "2016-12-31", "Noche Vieja",               "NF",  ""

  "es-ES", "",     "2017-01-01", "Año Nuevo",                 "NF",  ""
  "es-ES", "",     "2017-01-06", "Día de los Reyes",          "NRF", ""
  "es-ES", "",     "2017-04-14", "Viernes Santo",             "NRV", ""
  "es-ES", "",     "2017-04-16", "Pascua",                    "NRV", ""
  "es-ES", "",     "2017-05-01", "Fiesta del Trabajo",        "NF",  ""
  "es-ES", "",     "2017-08-15", "Asunción de la Virgen",     "NRF", ""
  "es-ES", "",     "2017-10-12", "Fiesta Nacional de España", "NF",  ""
  "es-ES", "",     "2017-11-01", "Dia de todos los Santos",   "NRF", ""
  "es-ES", "",     "2017-12-06", "Dia de la Constitución",    "NF",  ""
  "es-ES", "",     "2017-12-08", "Inmaculada Concepción",     "NRF", ""
  "es-ES", "",     "2017-12-24", "Noche Buena",               "NRF", ""
  "es-ES", "",     "2017-12-25", "Navidad",                   "NRF", ""
  "es-ES", "",     "2017-12-31", "Noche Vieja",               "NF",  ""

  "es-ES", "",     "2018-01-01", "Año Nuevo",                 "NF",  ""
  "es-ES", "",     "2018-01-06", "Día de los Reyes",          "NRF", ""
  "es-ES", "",     "2018-03-30", "Viernes Santo",             "NRV", ""
  "es-ES", "",     "2018-04-01", "Pascua",                    "NRV", ""
  "es-ES", "",     "2018-05-01", "Fiesta del Trabajo",        "NF",  ""
  "es-ES", "",     "2018-08-15", "Asunción de la Virgen",     "NRF", ""
  "es-ES", "",     "2018-10-12", "Fiesta Nacional de España", "NF",  ""
  "es-ES", "",     "2018-11-01", "Dia de todos los Santos",   "NRF", ""
  "es-ES", "",     "2018-12-06", "Dia de la Constitución",    "NF",  ""
  "es-ES", "",     "2018-12-08", "Inmaculada Concepción",     "NRF", ""
  "es-ES", "",     "2018-12-24", "Noche Buena",               "NRF", ""
  "es-ES", "",     "2018-12-25", "Navidad",                   "NRF", ""
  "es-ES", "",     "2018-12-31", "Noche Vieja",               "NF",  ""
