# Locale,  Region, Date,         Description,                            Type,  Notes.
  "ga-IE", "",     "2011-01-01", "Lá Caille or Lá Bliana Nua",           "NF",  ""
  "ga-IE", "",     "2011-03-17", "Lá Fhéile Pádraig",                    "NF",  ""
  "ga-IE", "",     "2011-04-25", "Luan Cásca",                           "NRV", ""
  "ga-IE", "",     "2011-05-02", "Lá an Lucht Oibre",                    "NV",  ""
  "ga-IE", "",     "2011-06-06", "Lá Saoire i mí Mheitheamh",            "NV",  ""
  "ga-IE", "",     "2011-08-01", "Lá Saoire i mí Lúnasa",                "NV",  ""
  "ga-IE", "",     "2011-10-31", "Lá Saoire i mí Dheireadh Fómhair",     "NV",  ""
  "ga-IE", "",     "2011-12-25", "Lá Nollag",                            "NRF", ""
  "ga-IE", "",     "2011-12-26", "Lá Fhéile Stiofáin or Lá an Dreoilín", "NRF", ""

  "ga-IE", "",     "2012-01-01", "Lá Caille or Lá Bliana Nua",           "NF",  ""
  "ga-IE", "",     "2012-03-17", "Lá Fhéile Pádraig",                    "NF",  ""
  "ga-IE", "",     "2012-04-09", "Luan Cásca",                           "NRV", ""
  "ga-IE", "",     "2012-05-07", "Lá an Lucht Oibre",                    "NV",  ""
  "ga-IE", "",     "2012-06-04", "Lá Saoire i mí Mheitheamh",            "NV",  ""
  "ga-IE", "",     "2012-08-06", "Lá Saoire i mí Lúnasa",                "NV",  ""
  "ga-IE", "",     "2012-10-29", "Lá Saoire i mí Dheireadh Fómhair",     "NV",  ""
  "ga-IE", "",     "2012-12-25", "Lá Nollag",                            "NRF", ""
  "ga-IE", "",     "2012-12-26", "Lá Fhéile Stiofáin or Lá an Dreoilín", "NRF", ""

  "ga-IE", "",     "2013-01-01", "Lá Caille or Lá Bliana Nua",           "NF",  ""
  "ga-IE", "",     "2013-03-17", "Lá Fhéile Pádraig",                    "NF",  ""
  "ga-IE", "",     "2013-04-01", "Luan Cásca",                           "NRV", ""
  "ga-IE", "",     "2013-05-06", "Lá an Lucht Oibre",                    "NV",  ""
  "ga-IE", "",     "2013-06-03", "Lá Saoire i mí Mheitheamh",            "NV",  ""
  "ga-IE", "",     "2013-08-05", "Lá Saoire i mí Lúnasa",                "NV",  ""
  "ga-IE", "",     "2013-10-28", "Lá Saoire i mí Dheireadh Fómhair",     "NV",  ""
  "ga-IE", "",     "2013-12-25", "Lá Nollag",                            "NRF", ""
  "ga-IE", "",     "2013-12-26", "Lá Fhéile Stiofáin or Lá an Dreoilín", "NRF", ""

  "ga-IE", "",     "2014-01-01", "Lá Caille or Lá Bliana Nua",           "NF",  ""
  "ga-IE", "",     "2014-03-17", "Lá Fhéile Pádraig",                    "NF",  ""
  "ga-IE", "",     "2014-04-21", "Luan Cásca",                           "NRV", ""
  "ga-IE", "",     "2014-05-05", "Lá an Lucht Oibre",                    "NV",  ""
  "ga-IE", "",     "2014-06-02", "Lá Saoire i mí Mheitheamh",            "NV",  ""
  "ga-IE", "",     "2014-08-04", "Lá Saoire i mí Lúnasa",                "NV",  ""
  "ga-IE", "",     "2014-10-27", "Lá Saoire i mí Dheireadh Fómhair",     "NV",  ""
  "ga-IE", "",     "2014-12-25", "Lá Nollag",                            "NRF", ""
  "ga-IE", "",     "2014-12-26", "Lá Fhéile Stiofáin or Lá an Dreoilín", "NRF", ""

  "ga-IE", "",     "2015-01-01", "Lá Caille or Lá Bliana Nua",           "NF",  ""
  "ga-IE", "",     "2015-03-17", "Lá Fhéile Pádraig",                    "NF",  ""
  "ga-IE", "",     "2015-04-06", "Luan Cásca",                           "NRV", ""
  "ga-IE", "",     "2015-05-04", "Lá an Lucht Oibre",                    "NV",  ""
  "ga-IE", "",     "2015-06-01", "Lá Saoire i mí Mheitheamh",            "NV",  ""
  "ga-IE", "",     "2015-08-03", "Lá Saoire i mí Lúnasa",                "NV",  ""
  "ga-IE", "",     "2015-10-26", "Lá Saoire i mí Dheireadh Fómhair",     "NV",  ""
  "ga-IE", "",     "2015-12-25", "Lá Nollag",                            "NRF", ""
  "ga-IE", "",     "2015-12-26", "Lá Fhéile Stiofáin or Lá an Dreoilín", "NRF", ""

  "ga-IE", "",     "2016-01-01", "Lá Caille or Lá Bliana Nua",           "NF",  ""
  "ga-IE", "",     "2016-03-17", "Lá Fhéile Pádraig",                    "NF",  ""
  "ga-IE", "",     "2016-03-28", "Luan Cásca",                           "NRV", ""
  "ga-IE", "",     "2016-05-02", "Lá an Lucht Oibre",                    "NV",  ""
  "ga-IE", "",     "2016-06-06", "Lá Saoire i mí Mheitheamh",            "NV",  ""
  "ga-IE", "",     "2016-08-01", "Lá Saoire i mí Lúnasa",                "NV",  ""
  "ga-IE", "",     "2016-10-31", "Lá Saoire i mí Dheireadh Fómhair",     "NV",  ""
  "ga-IE", "",     "2016-12-25", "Lá Nollag",                            "NRF", ""
  "ga-IE", "",     "2016-12-26", "Lá Fhéile Stiofáin or Lá an Dreoilín", "NRF", ""

  "ga-IE", "",     "2017-01-01", "Lá Caille or Lá Bliana Nua",           "NF",  ""
  "ga-IE", "",     "2017-03-17", "Lá Fhéile Pádraig",                    "NF",  ""
  "ga-IE", "",     "2017-04-17", "Luan Cásca",                           "NRV", ""
  "ga-IE", "",     "2017-05-01", "Lá an Lucht Oibre",                    "NV",  ""
  "ga-IE", "",     "2017-06-05", "Lá Saoire i mí Mheitheamh",            "NV",  ""
  "ga-IE", "",     "2017-08-07", "Lá Saoire i mí Lúnasa",                "NV",  ""
  "ga-IE", "",     "2017-10-30", "Lá Saoire i mí Dheireadh Fómhair",     "NV",  ""
  "ga-IE", "",     "2017-12-25", "Lá Nollag",                            "NRF", ""
  "ga-IE", "",     "2017-12-26", "Lá Fhéile Stiofáin or Lá an Dreoilín", "NRF", ""

  "ga-IE", "",     "2018-01-01", "Lá Caille or Lá Bliana Nua",           "NF",  ""
  "ga-IE", "",     "2018-03-17", "Lá Fhéile Pádraig",                    "NF",  ""
  "ga-IE", "",     "2018-04-02", "Luan Cásca",                           "NRV", ""
