# Locale,  Region, Date,         Description,              Type, Notes.
  "et-EE", "", "2012-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2012-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2012-04-06", "suur reede",                "NRV", ""
  "et-EE", "", "2012-04-08", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2012-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2012-05-27", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2012-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2012-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2012-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2012-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2012-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2012-12-26", "teine jõulupüha",           "NF", ""

  "et-EE", "", "2013-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2013-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2013-03-29", "suur reede",                "NRV", ""
  "et-EE", "", "2013-03-31", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2013-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2013-05-19", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2013-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2013-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2013-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2013-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2013-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2013-12-26", "teine jõulupüha",           "NF", ""

  "et-EE", "", "2014-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2014-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2014-04-18", "suur reede",                "NRV", ""
  "et-EE", "", "2014-04-20", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2014-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2014-06-08", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2014-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2014-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2014-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2014-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2014-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2014-12-26", "teine jõulupüha",           "NF", ""

  "et-EE", "", "2015-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2015-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2015-04-03", "suur reede",                "NRV", ""
  "et-EE", "", "2015-04-05", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2015-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2015-05-24", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2015-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2015-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2015-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2015-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2015-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2015-12-26", "teine jõulupüha",           "NF", ""

  "et-EE", "", "2016-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2016-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2016-03-25", "suur reede",                "NRV", ""
  "et-EE", "", "2016-03-27", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2016-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2016-05-15", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2016-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2016-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2016-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2016-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2016-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2016-12-26", "teine jõulupüha",           "NF", ""

  "et-EE", "", "2017-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2017-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2017-04-14", "suur reede",                "NRV", ""
  "et-EE", "", "2017-04-16", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2017-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2017-06-04", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2017-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2017-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2017-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2017-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2017-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2017-12-26", "teine jõulupüha",           "NF", ""

  "et-EE", "", "2018-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2018-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2018-03-30", "suur reede",                "NRV", ""
  "et-EE", "", "2018-04-01", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2018-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2018-05-20", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2018-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2018-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2018-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2018-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2018-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2018-12-26", "teine jõulupüha",           "NF", ""
