# Locale,  Region, Date,         Description,              Type, Notes.
  "et-EE", "", "2012-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2012-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2012-04-06", "suur reede",                "NRV", ""
  "et-EE", "", "2012-04-08", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2012-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2012-05-27", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2012-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2012-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2012-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2012-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2012-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2012-12-26", "teine jõulupüha",           "NF", ""

  "et-EE", "", "2013-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2013-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2013-03-29", "suur reede",                "NRV", ""
  "et-EE", "", "2013-03-31", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2013-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2013-05-19", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2013-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2013-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2013-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2013-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2013-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2013-12-26", "teine jõulupüha",           "NF", ""

  "et-EE", "", "2014-01-01", "uusaasta",                  "NF", ""
  "et-EE", "", "2014-02-24", "iseseisvuspäev",            "NF", ""
  "et-EE", "", "2014-04-18", "suur reede",                "NRV", ""
  "et-EE", "", "2014-04-20", "ülestõusmispühade 1. püha", "NRV", ""
  "et-EE", "", "2014-05-01", "kevadpüha",                 "NF", ""
  "et-EE", "", "2014-06-08", "nelipühade 1. püha",        "NRV", ""
  "et-EE", "", "2014-06-23", "võidupüha",                 "NF", ""
  "et-EE", "", "2014-06-24", "jaanipäev",                 "NF", ""
  "et-EE", "", "2014-08-20", "taasiseseisvumispäev",      "NF", ""
  "et-EE", "", "2014-12-24", "jõululaupäev",              "NF", ""
  "et-EE", "", "2014-12-25", "esimene jõulupüha",         "NF", ""
  "et-EE", "", "2014-12-26", "teine jõulupüha",           "NF", ""
